Complaint ID,Date Received,Banking Product,Issue ID,Complaint Description,State,ZIP,Bank Response
CID97541479,2/9/2023,Credit card or prepaid card,I_3506876,"My office was closed most of XXXX and XXXX due to Covid-XX. Because of this, I was not able to work. I worked in the financial services industry, which relied on in-person meetings with business owners and their employees. I was forced to quit in XXXX because they took my salary away. I contacted Bank of ABC to let them know that I was affected by the pandemic and would not meet my obligations in XXXX and XXXX. I asked if I could skip the XXXX and XXXX payments, which I would catch up on in XXXX when I received my income tax return. But because my account was closed by me due to financial hardship, they would not allow me to do so and reported it to all three credit bureaus as delinquent payments. They did tell me that if I had not had a previous hardship, they would have honored my request. The Cares act protects consumers and requires furnishers who call with a Coronavirus complaint to note accounts as current. 
I was discriminated against because I had a previous financial hardship. My son has XXXX and was hospitalized for XXXX  XXXX  when I had the first financial hardship. I was on XXXX XXXX XXXX XXXX without paying to be with him. I was not sure if he was going to make it. It was a scary time for me as I am a single parent with no financial or emotional help from anyone else. I could have filed for bankruptcy or not paid my obligation, and it would be off my credit report in another year. Instead, I chose to do the right thing, close my accounts, and work out a payment plan with my credit card companies to pay back what I owed them. Making the monthly payments was not easy, but it was the honorable thing to do. I faithfully paid what I owed to the credit card companies. In XXXX and XXXX of XX22, I could not make the payments to Bank of ABC due to the Covid pandemic. I was advised to call the credit card companies to let them know about my situation and ask for a two-month deferral to make up all the past payments and make the accounts current with my income tax return, which I did. I also read that in the Cares Act, the creditor was supposed to report all payments missed due to Covid as current and not delinquent. The above creditor reported these missed payments as seriously delinquent and did not follow the law. Before XXXX of XX22, I had never had a delinquent payment in my XXXX credit history. 
Instead of allowing this money to get charged off, I agreed to pay them because it was the right thing to do. Because of these XXXX past due payments, my credit score has dropped over XXXX XXXX points. I will not be able to buy a house or a car. In addition to calling the credit bureaus, I wrote goodwill letters to no avail. I disputed the reports to all credit reporting agencies, also to no avail. I do not get child support and have no family to help me. I used credit cards to help me take care of my children. I want Bank of ABC to delete the delinquent payments reported in XXXX and XX/XX/XX22 and mark them as paid on time, current and agreed upon. I would like to have them delete all delinquent payments due to my record and according to the Cares Act. Thank you!",Ohio,43447,Closed with explanation
CID67791148,2/9/2023,Credit card or prepaid card,I_6811189,"Bank of ABC, for at least the past one to two years, has allowed consumers to check for "" personalized credit card offers '' via its website. This, on the surface, appears to be a way to see if consumers are pre-qualified or pre-selected for credit card offers with Bank of ABC by way of Bank of ABC performing a soft inquiry on the consumer 's credit report. Throughout the "" personalized offer '' application process, I have been asked each and every time to provide my sensitive and confidential identifying information -- full name, date of birth, last XXXX digits of my Social Security number and home address and phone number. According to the personalized card offer process, entering this information will tailor credit cards to me according to my desired features in a credit card and according to my specific credit score. After entering all of the required information and proceeding with the personalized credit card application, the next screen does not, in any way, indicate that there are no "" personalized credit card offers '' for me ; it gives the false and misleading impression that I have received their "" personalized card offer '' according to the credit bureau information they have obtained on me at the time I submitted my personalized credit card offer application. After submitting my application and form with my personal information, Bank of ABC then takes me to the next screen that says : "" XXXX, we recommend Unlimited Cash Rewards credit card XXXX Bank of ABC XXXX XXXX XXXX credit card, '' with an image of that particular credit card. Once again, Bank of ABC is falsely and intentionally leading me to believe that the Bank of ABC XXXX XXXX XXXX credit card was selected personally for me based on information Bank of ABC obtained during the soft credit inquiry that was obtained at the beginning of me completing the application and form for their personalized credit card offers. Because of this deliberately false and misleading marketing practice, I was enticed and led to reasonably believe that Bank of ABC did, in fact, match me with a personalized credit card offer and that I was encouraged to apply for the credit card based on the information they obtained about my credit history and other identifying information. I then applied for the credit card, under the misleading and false advertising by Bank of ABC that I was pre-selected and/or pre-qualified for their credit card offer. I entered in further personal information about myself on their credit application, which was required of me by Bank of ABC, in order to proceed with the false and misleading marketing and advertising that I had received a personalized, customized offer for their Bank of ABC XXXX XXXX XXXX credit card. In the end, I was denied for this product for reasons listed in the attached denial letter sent to me by Bank of ABC. I have used Bank of ABC 's "" personalized credit card offers '' tool many, many times over the past two years. Each time, Bank of ABC has used knowingly false and misleading advertising and marketing to make me believe I had received a personalized credit card offer, based on my personal credit information, for which I'd be approved under their credit underwriting guidelines -- why else would Bank of ABC require all of my personal and confidential data and then invite me to apply for their credit card and NOT say there were no personalized credit card offers available to me? At no point does Bank of ABC 's website or online forms, or after the submission of my online forms, say that there is no personalized credit cards offers for me ; this is extremely misleading and deceptive marketing and lending practices. If Bank of ABC had indicated that no personalized credit card offers existed for me, and none of their screens "" recommended '' a card to me, I would not have applied for their credit card products and thus not incurred the numerous hard inquiries from Bank of ABC on my credit report. Furthermore, Bank of ABC offers absolutely no way to speak to anyone directly about these misleading and deceptive marketing and lending practices ; they only offer a way to mail a letter to a post office box. I have attached one of the many credit denial letters I've received from Bank of ABC, along with screen shots of every step of the misleading and deceptive "" personalized credit card offers '' process on their website.",Minnesota,55403,Closed with non-monetary relief
CID95695081,2/9/2023,Debt collection,I_1800595,"I forgot to pay off a credit card. I travel a lot for work. I was in XXXX working for the XXXX and when I got home this company XXXX took my to court and levied a judgement against me. All of a sudded my paychecks were being garnished and I could not pay my bills. 

I hired an lawfirm to handle the case but it seems they are really not interested in it and just wasting my time. I tried to offer them a settlement and they wanted not only what was owed but a one time payment of {$3XX0.00}. Doing research I found this is a violation OF the FTC. according to the guidelines it says that I should be entitled to Damages. 

I would love to speak with someone about this. 

Thanks XXXX XXXX",California,92253,Closed with explanation
CID96334823,2/9/2023,Mortgage,I_4921263,"My ex husband and I are both on mortgage with Bank. The home is deeded to me. I attempted to pay my monthly mortgage in in XX/XX/XXXX online like I always do. I was shocked to see that my mortgage account had disappereared from my Bank online account. Frantic I called because I wanted to pay on time. The mortgage department informed me that my ex filed a bankruptcy petition and that my mortgage account was locked out to me. They told me I had to call each month, ask for permission to pay, ( on my own account incredibly ) and within five business days to call back and then pay. I did this for a few months. I asked the mortgage department what my rights were, did I need to do anything, that I do not want any issues with my home, did I need to affirm the loan etc. They said this was all proforma and I will be fine. In XXXX I noticed my mortgage account reappeared on my online account. I paid, and looked at the transaction history. Bank added three charges stemming from the bankruptcy -- three attorney fees totalling {$XX00.00} I called and inquired. They could not give me answers. The supervisor XXXX said they would conduct a case and call me. They never called. I called them three or four times to no avail.One supervisor told me a letter was sent out to me on XX/XX/XXXX about my account.I asked to read it to me and she said it was not there for her to see!! Never got it. I called again on XX/XX/XXXX and I got different facts. I was told that the debtor ex husband 's bankruptcy was discharged on XX/XX/XXXX. That only the debtors bankruptcy attorney can dispute Bank attorney fees, not me and that Bank has no authority to waive them. She told me I did not need to reaffirm as it was a chapter XXXX, but that my mortgage account will be flagged for years as a subject of bankruptcy. It would affect MY CREDIT. I freaked as I WAS NOT the petitiioner, and never sought my mortgage obligations to be extinguished!! She told me to refinance -- but all closing costs will of course be mine -- totally not fair or just. It seems they want me to drum up more revenue for them!! I found out from debtor and his attorney that debtor was NOT GRANTED THE BANKRUPTCY relief. He dismissed it on his own. Debtor and his bankruptcy attorney never recieved any bills, invoices, requests for Bank atty fees. It was never presented to the XXXX Bankruptcy Court in Georga. I was never advised nor given ANY NOTICE of fees that were being levied against me. Furthermore, Bank NEVER gave me ANY NOTICE that there was a Bankruptcy Petition from debtor. In fact, debtor was NEVER SEEKING to include this mortgage in his bankruptcy petiton as he does not own property and has not paid a cent since XXXX when home was quit claimed to me. He was seeking relief for HIS OWN home in Georgia, not mine. Bank lied to me that he was granted the bankruptcy petition and that they do not have discretion to waive these fees. These fees are all DISCRETIOINARY for Bank of ABC, yet they are misleading me and are hurting me by taking on {$XX00.00} worth of their own internal fees for a proceeding which I WAS NOT THE PETITIONER or named in any way .Further, the debtor attorney nor myself has never received any itemized billing/accounting for so called fees. This is outrageous. I believe they tacked the {$XX00.00} right onto my principal mortgage balance -- -shameful. I dont know if they added it to principal or are expecting me to pay this fee which is NOT MINE with my monthly payments!! Bank is a HUGE FINANCIAL INSTITUTION and as such has extreme power. I do not. I am a woman who has paid her mortgage on time since XXXX after a divorce where I was left penniless raising XXXX boys alone. PLEASE HELP ME!",Florida,33914,Closed with non-monetary relief
CID90991657,2/9/2023,Checking or savings account,I_3648593,"In XXXX of XX22, we mailed our income tax payment checks from our local post office. These checks were stolen, washed and deposited with altered information ( United States postal inspection service case XXXX ). One check for {$6900.00} was deposited in XXXX bank on XXXX and one for {$5XX0.00} was deposited in BOA on XX/XX/XX22. Our bank XXXX has been trying to recover our funds and has not been successful. We get a letter every 30 days from the XXXX customer claims department stating that "" we could not recover your funds ''. XXXX claims that they have done everything required and we have not been able to find anyone at XXXX or BOA that is willing to talk to us.",New Jersey,7666,Closed with explanation
CID90602146,2/9/2023,Credit card or prepaid card,I_2292291,"On XX/XX/XXXX my wallet was stolen which contained all my personal valuables including my bank cards and identification cards. 
I did file a police report and reported to the fraud dept of Bank of ABC. 
Bank of ABC is not helping to fix this issue as my credit card was used to purchase items worth over a thousand dollars and Bank of ABC is saying I have to be responsive for that payment made from my stolen card.

Bank of ABC claims credit cards have pins and my pin was used on purchases but my credit card has no pin.",New York,10458,Closed with explanation
CID59521062,2/9/2023,Checking or savings account,I_2611782,Bank of ABC is accusing me of withdrawing money off of my checking account money I never even had in my account charging me {$1300.00} I never even had this amount in my account to begin with Bank of ABC wants me to settle for {$800.00} which Im not going to settle never touched a dime i need this removed immediately,New York,11436,Closed with explanation
CID92123661,2/9/2023,Checking or savings account,I_3648593,"On XX/XX/XX23 I deposited a Cashier 's Check for {$10000.00} drawn on XXXX XXXX XXXX  XXXX, XXXX XXXX  XXXX, XXXX, NM, XXXX into a Bank of ABC checking account at XXXXXXXX XXXX XXXX. XXXX, XXXX, NM, XXXX. The deposit slip was dated XX/XX/XX23 which was the next business day. On XX/XX/XX23 I received an email that a hold was placed on check until XX/XX/XX23. I called Bank of ABC on XX/XX/XX23 to say it was a Cashier 's Check but was told nothing could be done to make the funds available any sooner. When I decided to file this complaint I called XXXX XXXX on XX/XX/XX23 to see if check had cleared. It cleared on XX/XX/XX23. XXXX XXXX gave me a reference # XXXX so this information can be verified. I believe Bank of ABC has a systemic problem of when deposits made in checking accounts are available. The check was paid on XX/XX/XX23 by XXXX XXXX but I don't have access to funds until XX/XX/XX23. The Federal Reserve says that Cashier 's Check funds deposited in a checking account should be available for withdrawal in two business days.",New Mexico,87108,Closed with explanation
CID49863963,2/9/2023,Checking or savings account,I_3510635,"On XX/XX/XXXX, I sold my car to XXXX XXXX in XXXX XXXX, Iowa. They cut me a check for {$25000.00}. That night I tried depositing it into my Bank of ABC savings account using mobile check deposit. I woke up on XX/XX/XXXX to find both my checking and savings accounts closed. No email or text. The check was 100 % legitimate. After calling them 4 times, and stopping in to the local branch they said there is nothing they can do.",Iowa,50131,Closed with monetary relief
CID63652557,2/9/2023,Mortgage,I_4921263,"I entered into a XXXX loan modification as of XX/XX/XXXX. This modification is a Tier 1 loan modification under the XXXX program, which has an incentive. The incentive is entitled the "" Pay for Performance '' Incentive under the the MHA Handbook Chapter II : XXXX page XXXX47 section 13.2.1. The provision of that section specifies a payment incentive to borrowers in the XXXX year anniversary after the loan modification date, said borrower 's loan is eligible for a {$5000.00} reduction of the principle and a recast of my mortgage, as long as the loan is in good standing. I have not heard anything from Bank of ABC regarding their arrangements to enforce the provision of the XXXX agreement as it relates to my mortgage. * Please note - my loan was originally with Bank of ABC. When it went into default, it was sub-serviced by XXXX XXXX. Once the modification process was completed and entered, the loan went back into servicing with Bank of ABC. The loan mod was signed while being sub-serviced with XXXX. 
The last communication I had with Bank of ABC last year regarding the adjustment, they mentioned that it was to take effect in XXXX after I made my XXXX payment. That time has passed, and I have not gotten any type of correspondence or communication from Bank of ABC regarding the change to my mortgage as it relates to the XXXX agreement. I need this to go into effect immediately, with written documentation of the changes.",Georgia,30088,Closed with monetary relief
CID51498740,2/9/2023,Checking or savings account,I_3510635,"I have both a personal saving account and an cooperate bank account opened in BOA back to XXXX piror the covid-XX.

Are all in good standing for normal business and payments. 

By XXXX, XXXX, they suddendly got closed without any reason, just one mail notice. 

Tried call the hotline and nothing given.",Delaware,19703,Closed with monetary relief
CID59388946,2/9/2023,Checking or savings account,I_3648593,on XXXX approx. XXXX went BANK OF ABC TO WITHDRAW LARGE SUM OF MONEY FROM TELLER.GAVE HER MY ID AND EDD DEBIT CARD.SHE GOT THE INFO SHE NEEDED .RETURNED MY ID AND CARD I SIGNED THE MACHINETHEN SHE TOLD ME TO INSERT MY DEBIT CXARD TO CHECK PIN.I WAS THEN TOLD THAT THERE IS A HOLD ON MY CARD DUE TO POSSIBLE FRAUDULENT ACTIVITY.SHE THEN TOLD ME THAT I WOULD NOT GET ANY MONEY TILL THE HOLD IS TAKEN OFF MY CARD.I ASKED FOR SOME KIND OF RECEIPT TO SHOW THAT I WAS THERE FOR THIS DENIED WITHDRAWL.I NEVER LOOKED AT THE RECEIPT WHICH I HAVE LOST.I LEFT IN A HURRY TO GO HOME AND CALL CUSTOMER SERV. TO GET HOLD TAKEN OFF.WHEN I CHECKED MY STATEMENTS ONLINE.I NOTICED MY BALANCE WAS VERY LOW .I TRIED TO RESOLVE WITH THE MANAGER.WHO ONLY ACCUSES ME OF GETTING THE MONEY.FILED MULTIPLE CLAIMS ONLY TO BE TOLD IT WILL BE 45 TO 90 DAYS.KEEP SAYING THAT THEIR INVESTIGATION HAS CONCLUDED NO POISTAL ERRORS AND WON'T CREDIT MY ACCOUNT AND CASE I CLOSED. NO EVIDECE OR PROOF HAS BEEN SENT TO ME.IT 'S BEEN 2 + MONTHS.I HAVE LOST MY PART TIME JOB CAR INBSURANCE CAN'T PAY BILLS AND ABOUT TO BE EVICTED.ALL I WANT IS MY MONEY THAT I NEVER RECEIVED AND WAS LOST BY THE,California,91352,Closed with explanation
CID89533358,2/9/2023,"Money transfer, virtual currency, or money service",I_1514870,A check was deposited into my bank of ABC account that I didnt deposited. No money was removed from my account but I needed to report this to clear my name I am having a hard time clearing my name,Georgia,30071,Closed with monetary relief
CID90717238,2/9/2023,Credit card or prepaid card,I_2292291,"On XX/XX/XXXX my husband, XXXX, responded to an offer to purchase an I-pad for {$XX.00}. He gave them his credit card number, email address and home address. 

On XX/XX/XXXX we received our Bank of ABC ( BofA ) credit card statement in the mail and noticed that a charge was made on XX/XX/XXXX from a company called XXXX  out of Texas and another charge was made on XX/XX/XXXX from a company called XXXX out of XXXX for {$110.00}. XXXX called XXXX about the {$110.00} charge and found out it was a vitamin supplement company. Their representative gave him another number to call and that person referred him to their "" support '' website. XXXX knew he was getting the run around, so we filed a fraud complaint with Bank of ABC over the phone and included both charges because neither XXXX of us ever ordered any supplements from either company. At the time, I do not believe we connected it with the ordering of the I-pad. 

On XX/XX/XXXX, Bank of ABC sent a denial letter stating the merchant, XXXX claimed the {$110.00} was a subscription or re-occuring bill and that we were repeat customers. I called the company and they said XXXX ordered through some sweepstakes contest, but they couldn't help me since BofA was handling the dispute. The representative said that she would make a note in the file that we didn't order any products from them and never received any products from them On XX/XX/XXXX, I called BofA explaining that I thought the 2 charges were somehow related and reiterated that neither one of us ordered, nor received supplements from either company. It was my opinion that the first charge for {$XX.00} from XXXX sold XXXX 's information and credit card number to the second company, XXXX which is a company in another state. The dispute for {$110.00} was reopened. The {$XX.00} charge was still pending at the time. 

On XX/XX/XXXX, We received a denial from BofA for the {$110.00} charge.The company, XXXX, submitted a receipt that said we ordered 1 product for {$110.00} ( no description of product, just says product qty 1 ) and no shipping information ( how shipped, shipping tracking number, etc ). Bank of ABC therefore denied our claim saying that was proof we received the merchandise. 

On XX/XX/XXXX - Called to explain the situation and dispute again. The Representative just chastised me for falling for a scam. Was very condescending so I gave up talking to him. 

On XX/XX/XXXX - Called Fraud and re-explained what happened. Reiterated that the only order made was for an I-pad for {$XX.00} that never came, and we never ordered nor received any supplements or ipads. Case was put in dispute again. Rep said the {$XX.00} charge was still pending. 

On XX/XX/XXXX - Received letter from BofA denying dispute again for {$110.00} stating giving the reason that I granted access to an authorized user on my credit card, thereby I have to accept responsibility and that the home address, phone number or email address matches what the merchant has on file. If XXXX ordered and received a product, I do accept responsibility. In fact, I believe I stated in the next call to BofA that if anything, we were responsible for the {$XX.00} charge since XXXX placed an order. However I felt that since we still didn't receive any I-pad, it would still be a dispute for a product ordered, but not received. This denial in my opinion did not address the dispute or act of fraud in any way. 

On XX/XX/XXXX - I called BofA and explained the situation again and the XXXX suggested I file the ordering of the laptop as a billing dispute instead of fraud ( which I now found out that BofA considers to be a totally different department ). I told the rep I felt it was both a fraud related and a billing dispute. I felt the whole thing was fraudulent since we never ordered supplements. It was also a billing dispute, since we were being charged for products we never received ( nor ordered ). She said we couldn't claim both and suggested combining both claims into XXXX as they seemed to be related. I agreed. I asked to speak to the person who decides the case, but was told that BofA only allows customers to talk to Associates. I then asked to speak to a supervisor and was told no one was available now, so she took my number and said a supervisor would call me back. No one ever did, so I called back on XX/XX/XXXX to find out about late fees and interest since my bill for the {$110.00} in disputed charges was due that Monday and BofA wouldn't hold off billing me on the disputed charges. I felt I was forced to pay the minimum amount so I wouldn't incur a late penalty. 

Received a letter dated XX/XX/XXXX saying that they resolved my claim for {$XX.00} ( which was 113 days from my original dispute for that claim ) and that they resolved that dispute in my favor. No explanation. On the same date, they declined the dispute for the {$110.00} charge because it was made by an authorized user. This is so frustrating because this answer does not address the complaint/dispute which I have stated in numerous conversations with BofA reps XXXX and they seem to agree with me when they opened and re-opened the disputes. But when it gets to the fraud team, they just don't understand so I will summarize below. 

I maintain the dispute to be as follows : 1 ) XXXX ordered an I-pad on XX/XX/XXXX for {$XX.00}. While he can recall the amount, he does not recall, the company name. He has not received an i-pad to date. 
2 ) BofA credit card statement revealed 2 charges. XXXX for {$XX.00} and another for {$110.00}. Both companies seem to sell supplements. Neither XXXX nor I ordered supplements, so I disputed the charges immediately. 
2 ) It seems the second merchant ( not sure if same merchant or not since different names and different states ) told BofA that we are "" existing customers '', but have provided no proof that we are existing customers who have ordered products from them in the past, nor have they provided proof that they shipped us anything. 
3 ) We maintain that neither one of us have ever received/nor ordered any supplements or products from either company ( the receipt sent to us only says product ), nor have we received an i-pad. 

While most of the BofA Reps have been friendly and seem to understand the situation, and dare I say seem to agree the transactions were fraudulent, when it gets to the fraud division, things seem lost in translation. I tried everything possible to get BofA to reverse the charges BEFORE they paid either merchant. These merchants are so blatantly fraudulent and a scam, which we didn't realize until after we got our statement with the charges. BofA was negligent in protecting us as their customer. 

I would like to add, that I have no documents except those that BofA sent me, since we did not order any supplements from either merchant, nor did we receive any products. The merchants have not sent us anything at all.",California,92078,Closed with monetary relief
CID94106278,2/9/2023,Checking or savings account,I_3648593,I have filed a dispute with Bank of ABC ( BoA ) on XX/XX/XXXX. To the date of this letter the clain remaibs open unpaid. Per Regulation E the timeline given is only 45 calender days. Additionally no credit was provided as should have been per the consumers compliance guide and Regulation E. Upon attempting to call BoA they have decided on there own to not only change the time allowed but to also change the focus of said claim. Regardless a electronic transfer as this was is only able to be reaearched for 45 days. The cfpb states you would have had to provide a credit but instead you have filed it wrong about 4 times after i have been told to call and file it differently just to find out i was correct the whole time. This is unacceptable and i demand my funds be placed onto my account and the case be closed in my favor. Iv veen told you have longer by a few employees but nonebof them have provided any proof of that so ill include where it says you dont have more then 45 days.,West Virginia,25419,Closed with explanation
CID93173172,2/9/2023,Credit card or prepaid card,I_7000941,"On XX/XX/XXXX, Bank of ABC decided to close both of my debit card account and credit card account without notice. 

I tried to log in into my BOA app but failed on XX/XX/XXXX. I called them for the reason, they just told me they had the right to close my bank accounts without reason and notice. ( Actually the letters from BOA I received 2 weeks later this call said that the reason is I had irregular transactions, I checked my spendings, and that transactions should be my two payments to a XXXX shopping website-the most famous one. ) I had no more chance to open another debit card account eternally. 

It took me around 3 hours to talk with the debit card and credit card department on XXXX XXXX need to wait for 2 weeks for the balance of debit card. And I went to BOA to pay the money I owned in my credit card account on the same day. 

But I couldn't get back my cash back rewards ( around XXXX dollars ), the lady from customer service department made a claim for me on XX/XX/XXXX, she could not click the "" redeem '' button since it was frozen. She told me the back door office would deal with my cash back rewards and send it back to me in 4 weeks. Yesterday XX/XX/XXXX, I received a letter from BOA without any contact information, it is said that I couldn't get back my cash back rewards because my account had been closed. That is not me who made this decision without notice - made me had no time to redeem my rewards. I called BOA again, the customer services twice, benefits department, and another one, I had been transferred three times and finally no one could help me to get my money back. They said I am no eligible to have the service because my accounts had been closed and they had nothing to do with me. 

It is indecent to keep a former client 's money in this way. I only want my own money back to me.",California,92126,Closed with explanation
CID61914589,2/10/2023,Vehicle loan or lease,I_1240949,"Over the past two years, I set up autopay on my jeep loan maybe 6 times. Each time on bank of ABCs end, my autopay was ended without warning and I only found out when theyd call to tell me Im past due. I always paid right away as I have the ability to pay the loan off, but its a lower interest rate so Ive been leaving it there. It just happened for a 5th or so time and I dont feel my credit score should be impacted because their system is making it difficult to keep track of payments. When you sign up for autopay, there is some trust that it wont be cancelled by the bank without notice.",Massachusetts,1462,Closed with non-monetary relief
CID99024656,2/10/2023,Credit card or prepaid card,I_2292291,"I have filed a dispute regarding a scam on my credit card. This scam amount of for {$XX00.00}. Bank of ABC responded and CFPB closed the dispute, but Bank of ABC openly lied in their response to my complaint. Bank of ABC has NEVER given a reason for their denial of my fraud claim. They claim it is because it was a XXXX transaction, BUT they have reimbursed other XXXX scam. See news link below. This opens up the opportunity for discrimination between consumers as Bank of ABC is not providing a standard of who they are repaying and why. 

A bank should not be able to blatantly lie, and have those lies just be excepted as fact. As a consumer who has to use banks in a world where we are forced to be cash free it is important that banks be held accountable for their behavior and that they not be able to just lie and then have those lies be taken as fact. 

Bank of ABC claimed in their response CFPB that they investigated my complaint. This was impossible. They did not take ANY of the information or documentation at the time of the complaint. I offered it to them TWICE. They did not take it telling me I was out of luck any way. 

They also only called me ONCE and left a message late a night with a number and extension. I called this extension and left a message XX times. Bank of ABC NEVER called me back.

Bank of ABCn DID NOT investigate this fraud. THEY HAVE NEVER SPOKEN TO ME ABOUT SINCE I FILED THE COMPLAINT. THEY HAVE NEVER ACQUIRED THE INFORMATION FOR THE FRAUD FROM ME DIRECTLY. 

They also NEVER provided the reason they declined to reimburse my fraud claim but did reimburse other people in the same situation 's fraud claims. See news article which clearly shows Bank of ABC reimbursed other people in my situation, but refuse to state why they are not refunding my transaction. 

XXXX  : XXXX # : ~ : XXXX % XXXX % XXXX % XXXX % XXXXXXXX XXXX XXXX XXXX XXXX XXXX % XXXX % XXXX.",Washington,98109,Closed with explanation
CID84814941,2/10/2023,"Money transfer, virtual currency, or money service",I_1514870,"Commencing on or about XX/XX/XX22, I fell victim to a multilayered scam operation orchestrated by the Scammer, all of which aim at contributing to the goal of robbing and defrauding innocent people. 
Money was transferred from my account via debit card, and through an intermediary named XXXX XXXX, XXXX, XXXX in the total amount of XXXX USD",Florida,32832,Closed with monetary relief
CID88415448,2/10/2023,"Money transfer, virtual currency, or money service",I_1514870,"On XX/XX/XX22 a person I know encouraged me through social Media to trust in his financial mentor to invest in bitcoin and other crypto investments. 
After some talks and "" orientation '' I was asked to invest by first sending a XXXX payment of {$XX00.00}. This money would then appear in a website they have and multiply in 48 hrs. 

I soon realizes it was a fraud scheme and the person I know was involved as well. 
I reported the case to a federal agency and immediately to my bank. Bank of ABC. 

The bank suggested me to wait a period of 60 days, after 60 days they mentioned they weren't able to retrieve any funds from the other person and that they were closing the case. 

I have been banking with BofA for 12 years and they weren't able to help me when I was scammed.",California,90028,Closed with explanation
CID63156223,2/10/2023,Mortgage,I_9057781,XXXXm going through a lot of stuff from identity theft fraud custody issues you name it Im going through it I was with Bank of ABC for XX years and I live at XXXX XXXX XXXX ct I started bankruptcy and couldnt finish paying for the plan because Im also paying another attorney for XXXX case so all of a sudden my loan was transferred to XXXX XXXX I never received anything from the company I had to Bank of ABC and then thats how I found out also my XXXX was stolen and has been hacked along with my email address as well,Nevada,89166,Closed with explanation
